                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5532,                 3.5797,                 1.3271,                 1.5291,                  7.849,                 1.2327,                0.00261,                0.73438,                0.19663,                0.10201,                 1.3905,                 3.9329,                 1.1822,                 1.3175,                 10.638,                 1.1016,                0.00026,                0.00026,                0.00026
                      2,                 1.5858,                 2.5702,                  1.299,                 1.4789,                 7.0174,                  1.213,                 0.0025,                0.70312,                0.11136,                0.04162,                 1.4575,                 3.9928,                 1.2916,                 1.2337,                 10.435,                 1.1443,             0.00051327,             0.00051327,             0.00051327
                      3,                 1.6061,                 2.2639,                 1.3445,                 1.5222,                 6.0558,                 1.2268,                0.00267,                   0.75,                0.07546,                0.01976,                 1.6165,                 4.0581,                 1.3665,                 1.4817,                 10.708,                 1.2315,             0.00073882,             0.00073882,             0.00073882
                      4,                 1.6499,                 2.1398,                 1.3619,                  1.632,                 5.6938,                 1.2833,                0.00256,                0.71875,                 0.0559,                0.02165,                 1.6596,                 3.7828,                 1.5804,                 1.3796,                 10.439,                 1.3622,             0.00093665,             0.00093665,             0.00093665
                      5,                 1.5876,                 2.0177,                 1.2806,                 1.6676,                 5.2716,                  1.245,                0.45554,                0.28125,                0.29907,                0.15753,                 1.6019,                  3.514,                 1.4331,                 1.3958,                   9.77,                 1.3832,              0.0011068,              0.0011068,              0.0011068
                      6,                 1.6167,                 1.9988,                 1.3188,                 1.6043,                 5.1153,                 1.2701,                0.24807,                0.07812,                0.11585,                0.04455,                 1.8311,                 4.5762,                 1.7673,                 1.5751,                 10.188,                 1.5883,              0.0012491,              0.0012491,              0.0012491
                      7,                 1.6448,                 1.9128,                 1.3658,                 1.6633,                  4.593,                 1.3169,                0.55414,                0.11681,                0.21514,                0.09458,                 1.6823,                 6.0439,                 1.6855,                 1.5743,                 9.5827,                 1.5399,              0.0013638,              0.0013638,              0.0013638
                      8,                 1.5674,                 1.9075,                 1.3284,                 1.6446,                 4.6579,                 1.3134,                0.56584,                0.28519,                0.31869,                0.14915,                 1.6761,                 3.4536,                 1.6075,                 1.5998,                 8.1606,                 1.5736,               0.001307,               0.001307,               0.001307
                      9,                 1.5666,                 1.7362,                 1.3221,                 1.5923,                 4.1186,                 1.2648,                0.43616,                0.32812,                0.32197,                 0.1707,                 1.6947,                  2.935,                 1.6807,                 1.5821,                  7.313,                 1.5782,               0.001307,               0.001307,               0.001307
                     10,                  1.539,                 1.6949,                 1.2879,                 1.5411,                 3.8488,                 1.2112,                  0.503,                0.39062,                0.42374,                0.21579,                 1.7008,                 2.7131,                 1.5228,                 1.6873,                 6.2635,                 1.4719,               0.001208,               0.001208,               0.001208
                     11,                 1.4962,                 2.0254,                 1.3002,                 1.5163,                 5.5093,                 1.3106,                0.74443,                0.32812,                0.49024,                0.24249,                 1.6448,                 2.5981,                 1.4038,                 1.5659,                 6.0865,                 1.3746,               0.001109,               0.001109,               0.001109
                     12,                 1.5081,                 1.8764,                 1.2793,                 1.5643,                 5.0926,                 1.2681,                  0.647,                0.53125,                0.51821,                0.26386,                 1.6863,                 2.5061,                 1.6401,                 1.5468,                 5.7122,                 1.4845,                0.00101,                0.00101,                0.00101
                     13,                 1.4596,                 1.7993,                 1.2737,                  1.591,                 4.7619,                 1.2829,                0.59346,                0.51562,                0.50714,                0.23476,                 1.6197,                 2.6473,                 1.4368,                 1.7237,                 5.5774,                 1.4773,               0.000911,               0.000911,               0.000911
                     14,                 1.4409,                 1.7623,                 1.2692,                 1.4817,                  4.504,                 1.2331,                0.49365,                 0.5625,                0.52732,                0.26041,                 1.6285,                 2.7356,                 1.5742,                 1.6443,                  4.861,                 1.4325,               0.000812,               0.000812,               0.000812
                     15,                 1.5091,                 1.7043,                  1.301,                 1.5962,                 4.2234,                 1.2547,                0.57879,                0.70312,                 0.6398,                0.33277,                 1.5386,                 2.0135,                  1.497,                 1.5924,                 4.2492,                 1.5563,               0.000713,               0.000713,               0.000713
                     16,                 1.4845,                 1.6379,                 1.2803,                 1.5404,                 4.1327,                 1.2171,                0.55305,                0.60938,                0.63775,                 0.3324,                 1.5324,                 1.6862,                 1.3951,                 1.6292,                 3.8898,                  1.381,               0.000614,               0.000614,               0.000614
                     17,                 1.3701,                 1.5664,                 1.2298,                 1.4069,                 3.8147,                 1.1839,                0.47851,                0.60938,                0.57537,                0.29945,                 1.5667,                 1.7121,                 1.3975,                 1.5391,                 3.9763,                 1.2497,               0.000515,               0.000515,               0.000515
                     18,                 1.3713,                 1.4858,                 1.2498,                 1.4399,                 3.6972,                 1.1958,                0.72038,                0.39062,                0.57464,                0.28456,                 1.6209,                 1.6465,                 1.4374,                 1.5813,                 3.9786,                 1.2931,               0.000416,               0.000416,               0.000416
                     19,                 1.3149,                 1.4143,                 1.1919,                 1.3367,                 3.5995,                 1.1539,                0.57197,                0.51562,                0.63766,                0.30619,                  1.621,                 1.5559,                 1.4673,                 1.6586,                 3.8031,                 1.3285,               0.000317,               0.000317,               0.000317
                     20,                 1.2547,                 1.3939,                 1.1666,                 1.3048,                 3.4348,                 1.1506,                0.59851,                0.70312,                0.66551,                0.34172,                 1.5529,                 1.4644,                  1.413,                 1.5324,                 3.5344,                 1.3123,               0.000218,               0.000218,               0.000218
